X,player_name,salary,season
779,kent bazemore,2000000,2016
1852,domantas sabonis,2659800,2018
1160,lou williams,7000000,2017
1165,jeremy lamb,6511628,2017
1190,jared sullinger,5628000,2017
1077,thaddeus young,14153652,2017
2941,lonnie walker iv,2689920,2020
2851,rodney hood,5718000,2020
1373,rakeem christmas,1052342,2017
2141,joe johnson,473835,2018
821,tyus jones,1282080,2016
2014,nicolas brussino,1312611,2018
3131,admiral schofield,1000000,2020
489,michael beasley,195440,2015
1572,troy williams,76725,2017
286,james young,1674480,2015
2935,bryn forbes,2875000,2020
421,dewayne dedmon,816482,2015
2678,khris middleton,30603448,2020
1501,kyle collinsworth,543471,2017
3025,patrick patterson,1620564,2020
1198,brandon ingram,5281680,2017
2654,yante maten,18948,2019
535,john wall,15851950,2016
1702,robert covington,10464092,2018
2528,shelvin mack,1512601,2019
557,tyson chandler,13000000,2016
2152,manny harris,115344,2018
1254,kj mcdaniels,3333333,2017
2992,derrick white,1948080,2020
2008,sheldon mac,1312611,2018
2903,tyler herro,3640200,2020
333,archie goodwin,1112280,2015
1726,markelle fultz,8339880,2018
2629,john jenkins,486520,2019
1170,marco belinelli,6333333,2017
971,t.j. mcconnell,525093,2016
9,rudy gay,19317326,2015
221,kawhi leonard,2894059,2015
720,jerryd bayless,3000000,2016
1664,ricky rubio,14275000,2018
2454,john collins,2299080,2019
797,sergey karasev,1599840,2016
1268,dante cunningham,2978250,2017
2878,garrett temple,4767000,2020
799,jerian grant,1572360,2016
1959,caleb swanigan,1465920,2018
953,pat connaughton,625093,2016
816,rondae hollis-jefferson,1335480,2016
3078,alfonzo mckinnie,1500000,2020
2400,justise winslow,3448926,2019
865,hassan whiteside,981348,2016
1241,kentavious caldwell-pope,3678319,2017
2562,frank jackson,1378242,2019
306,mason plumlee,1357080,2015
334,nemanja nedovic,1104240,2015
1663,robin lopez,14357750,2018
2019,abdel nader,1167333,2018
695,kyle o'quinn,3750000,2016
10,kevin durant,18995624,2015
1181,karl-anthony towns,5960160,2017
